ID,PAGO ERICK,Family Case Number,"	
Número de caso",Estado del Caso,Cantidad de Postes,Nombre de empresa / Cliente,Comuna,Fecha 1ra. Inspección,Fecha que se asignó,Fecha de inspección,TIENE PLANO?,X,Y,RESULTADO (ERICK),Observación TERRENO,INSPECTOR,E. DE P.
32,OK,100845,103954,In Progress,56,Ufinet Chile SPA,Huechuraba,2024-04-08 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,APROBADO,"EN RUTA NO SE ENCUENTRAN INDICIOS  DE INSTALACIONES POR PARTE DE UFINET. PROYECTO DE FACTIBILIDAD RECHAZADO, EN RUTA SE ENCUENTRAN CRUCETAS  CON COLOR ACERO EVIDENTEMENTE NUEVAS Y PRESUNTAMENTE DE EMPRESA TELEFÓNICA",ERICK SANDOVAL,2
33,OK,98066,98066,In Progress,4,QMC TELECOM CHILE SPA,La Florida,2024-04-01 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO FACTIBILIDAD RECHAZADO PLANO SIN INFORMACIÓN DE INSTALACIONES SOLICITADAS EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS POSTE 654049 EN TERRENO ES 659044 SE CONCLUYE QUE SOLICITAN APOYO Y EN POSTE NO SE REFLEJA INSTALACIÓN,ERICK SANDOVAL,2
34,OK,98034,103987,In Progress,3,QMC TELECOM CHILE SPA,La Florida,2024-04-08 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,NO,POST OBRA,,APROBADO,"PROYECTO FUE RECHAZADO, EN TERRENO SE ENCUENTRAN CRUCETA ROJO CON LILA EVIDENTEMENTE NUEVAS INSTALADAS HACE POCO TIEMPO",ERICK SANDOVAL,1
35,OK,102430,103890,New Feasibility opened,15,Empresa Nacional de Telecomunicaciones S.A,La Florida,2024-04-08 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,SI,POST OBRA,,RECHAZADO,"PROYECTO ENVIADO SIN PLANOS DEL MISMO, SITUACIÓN QUE IMPOSIBILITA ANÁLISIS  CORRECTO DE FACTIBILIDAD EN TERRENO. SE LLEGA A INTERSECCIONES POR INTERMEDIO DE CSV Y EN RUTA SE ENCUENTRAN INSTALACIONES REALIZADAS OBVIANDO SITUACIÓN DE ESCOMBROS AÉREOS Y VANOS FUERA DE NORMA EN SECTOR, INSTALACIONES NUEVAS FUERON MÁS A LAS INFORMADAS EN CSV",ERICK SANDOVAL,2
36,OK,102481,103888,New Feasibility opened,30,Empresa Nacional de Telecomunicaciones S.A,Macul,2024-04-01 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO DE FACTIBILIDAD RECHAZADO. EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS SOLICITADOS POR EMPRESA SIN REGULARIZAR SITUACIÓN DE SATURACION ESCOMBRO Y VEGETACIÓN EN LÍNEAS TELCO,ERICK SANDOVAL,2
37,OK,100645,103955,In Progress,11,Empresa Nacional de Telecomunicaciones S.A,Ñuñoa,2024-04-02 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,SI,POST OBRA,,RECHAZADO,"EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS SOLICITADOS EN TERRENO. INFORMACIÓN DE CSV NO COINCIDE CON LO SOLICITADO EN PLANO DE PROYECTO, ESCOMBRO AÉREO AUN EN TERRENO",ERICK SANDOVAL,1
38,OK,99785,103986,In Progress,5,Empresa Nacional de Telecomunicaciones S.A,Pedro Aguirre Cerda,2024-04-01 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,RECHAZADO,"PROYECTO DE FACTIBILIDAD RECHAZADO EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS EN TERRENO, EN CALLE TRANSLAVIÑA SE ENCUENTRAS MÁS APOYOS NUEVOS QUE LOS SOLICITADOS POR EMPRESA",ERICK SANDOVAL,2
39,OK,100920,103953,In Progress,5,Empresa Nacional de Telecomunicaciones S.A,Providencia,2024-04-08 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,SI,POST OBRA,,RECHAZADO,"EN TERRENO SE ENCUENTRAN APOYOS NUEVOS EN PROYECTO DONDE SOLO SE SOLICITÓ SOBRECARGA, INFORMACIÓN DE CSV NO COINCIDE CON INFORMACIÓN DE PLANO DE PROYECTO",ERICK SANDOVAL,1
40,OK,101121,103952,New Feasibility opened,2,Empresa Nacional de Telecomunicaciones S.A,Providencia,2024-04-08 00:00:00,2024-06-07 00:00:00,2024-06-07 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO DE FA TIBILIDAD RECHAZADO EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS EN TERRENO,ERICK SANDOVAL,2
41,OK,102512,103887,New Feasibility opened,1,Empresa Nacional de Telecomunicaciones S.A,Providencia,2024-04-01 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,INCOMPLETO,POST OBRA,,APROBADO,PROYECTO DE FACTIBILIDAD APROBADO EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS BAJO NORMATIVA,ERICK SANDOVAL,2
42,OK,95761,98903,New Feasibility opened,8,Empresa Nacional de Telecomunicaciones S.A,Providencia,2024-04-02 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,SI,POST OBRA,,RECHAZADO,"PROYECTO RECHAZADO EN UN INICIO, EN TERRENO SE ENCUENTRAN INDICIOS DE INSTALACIÓN REALIZADA EN TERRENO Y ESTA NO CUMPLE CON LO SOLICITADO EN PLANO NI EN CSV RECHAZADO",ERICK SANDOVAL,1
43,OK,94340,94682,New Feasibility opened,6,Empresa Nacional de Telecomunicaciones S.A,Quilicura,2024-04-02 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO DE FACTIBILIDAD RECHAZADO EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS. INSTALACIONES SE ENCUENTRAN BAJO NORMATIVA PERO FUERON ECHAS BAJO UN CONTEXTO DE SATURACION,ERICK SANDOVAL,2
44,OK,101451,103950,New Feasibility opened,6,Empresa Nacional de Telecomunicaciones S.A,Quilicura,2024-04-02 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,APROBADO,PROYECTO DE FACTIBILIDAD APROBADO EN RUTA SE ENCUENTRAN INSTALACIONES BAJO NORMATIVA,ERICK SANDOVAL,2
45,OK,105755,105822,New Feasibility opened,33,Empresa Nacional de Telecomunicaciones S.A,Quinta Normal,2024-04-02 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,SI,POST OBRA,,APROBADO,EN RUTA SE ENCUENTRAN INSTALACIONES BAJO NORMATIVA,ERICK SANDOVAL,2
46,OK,105290,105293,In Progress,5,Empresa Nacional de Telecomunicaciones S.A,Recoleta,2024-04-03 00:00:00,2024-06-04 00:00:00,2024-06-04 00:00:00,NO,POST OBRA,,APROBADO,EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS SOLICITADOS POR EMPRESA PROYECTO DE FACTIBILIDAD FUE RECHAZADO,ERICK SANDOVAL,2
47,OK,101547,103907,New Feasibility opened,44,Ufinet Chile SPA,Recoleta,2024-04-03 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",NO,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
48,OK,101543,103908,New Feasibility opened,24,Ufinet Chile SPA,Recoleta,2024-04-03 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",INCOMPLETO,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
49,OK,101550,103906,New Feasibility opened,33,Ufinet Chile SPA,Recoleta,2024-03-28 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",INCOMPLETO,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
50,OK,101527,103949,New Feasibility opened,52,Ufinet Chile SPA,Recoleta,2024-04-03 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",NO,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
51,OK,101535,103946,New Feasibility opened,35,Ufinet Chile SPA,Recoleta,2024-04-03 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",INCOMPLETO,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
52,OK,101538,103910,New Feasibility opened,38,Ufinet Chile SPA,Recoleta,2024-03-28 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",INCOMPLETO,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
53,OK,101533,103947,New Feasibility opened,37,Ufinet Chile SPA,Recoleta,2024-04-08 00:00:00,2024-06-05 00:00:00,"YA INSPECCIONADO, SE REPITE",SI,POST OBRA,,"YA INSPECCIONADO, SE REPITE",-,ERICK SANDOVAL,-
54,OK,94006,94684,New Feasibility opened,8,Empresa Nacional de Telecomunicaciones S.A,Santiago,2024-04-03 00:00:00,2024-05-30 00:00:00,2024-05-31 00:00:00,SI,POST OBRA,,RECHAZADO,"FACTIBILIDAD PREVIAMENTE RECHAZADA Y EN TERRENO SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS 
POSTE 149780 RESERVA TÉCNICA FUERA DE NORMA",ERICK SANDOVAL,1
55,OK,100563,103956,In Progress,20,Empresa Nacional de Telecomunicaciones S.A,Santiago,2024-04-03 00:00:00,2024-06-07 00:00:00,2024-06-07 00:00:00,SI,POST OBRA,,APROBADO,"EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS RESERVAS TÉCNICAS YA HABÍAN SIDO INFORMADAS.
158072 RESERVA TÉCNICA FUERA DE NORMA 
 158051 RESERVA TÉCNICA FUERA DE NORMA",ERICK SANDOVAL,2
56,OK,105749,105821,New Feasibility opened,3,Empresa Nacional de Telecomunicaciones S.A,Vitacura,2024-04-08 00:00:00,2024-06-07 00:00:00,2024-06-07 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO DE FACTIBILIDAD RECHAZADO. EN RUTA SE ENCUENTRAN INDICIOS DE INSTALACIONES EN TERRENO SIN RETIRO DE ESCOMBRO AÉREO NI PODA EN EL SECTOR ,ERICK SANDOVAL,2
57,OK,105826,105903,New Feasibility opened,5,Empresa Nacional de Telecomunicaciones S.A,Quilicura,2024-04-02 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO DE FACTIBILIDAD  APROBADO SEGÚN SOLICITADO EN PLANO DE PROYECTO EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS,ERICK SANDOVAL,2
58,OK,102249,106445,New Feasibility opened,66,Internexa Chile SA,Estación Central,2024-04-09 00:00:00,2024-06-07 00:00:00,2024-06-07 00:00:00,SI,POST OBRA,,APROBADO,"SIN INDICIOS DE INSTALACIÓN EN TERRENO. PROYECTO DE FACTIBILIDAD RECHAZADO 
EN RUTA SE ENCUENTRAN CRUCETAS NARANJAS  CON VERDE Y NARANJAS CON LILA EN TERRENO",ERICK SANDOVAL,2
59,OK,106460,107083,New Feasibility opened,7,Empresa Nacional de Telecomunicaciones S.A,Macul,2024-04-09 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,SI,POST OBRA,,APROBADO,PROYECTO DE FACTIBILIDAD RECHAZADO EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS EN TERRENO,ERICK SANDOVAL,2
60,OK,106502,107082,New Feasibility opened,10,Empresa Nacional de Telecomunicaciones S.A,Las Condes,2024-04-09 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,SI,POST OBRA,,APROBADO,"EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS EN TERRENO, SIN NUEVAS CRUCETAS SOLICITADAS POR EMPRESA EN PLANO, CSV NO COINCIDE CON PLANO DE PROYECTO",ERICK SANDOVAL,2
61,OK,106739,107073,New Feasibility opened,8,Empresa Nacional de Telecomunicaciones S.A,Peñalolén,2024-04-09 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,SI,POST OBRA,,APROBADO,PROYECTO FACTIBILIDAD RECHAZADO. NO SE ENCUENTRAN INDICIOS DE TRABAJOS EN RUTA VANO FUERA DE NORMA NO HA SIDO INTERVENIDO POSTE 769850 SE MANTIENE SIN APOYO PARA SOBRECARGA SOLICITADA,ERICK SANDOVAL,2
62,OK,106930,107070,New Feasibility opened,5,Empresa Nacional de Telecomunicaciones S.A,Lo Barnechea,2024-04-09 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,SI,POST OBRA,,APROBADO,"EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS EN TERRENO 
CSV NO COINCIDE CON PLANO DE PROYECTO, POSTES 740238 & S/N SIGUEN SIN APOYO ENTEL SE CONCLUYE QUE NO SE REALIZÓ PROYECTO",ERICK SANDOVAL,2
63,OK,107478,107683,,65,Empresa Nacional de Telecomunicaciones S.A,Colina,2024-04-11 00:00:00,2024-05-31 00:00:00,2024-05-31 00:00:00,SI,POST OBRA,,APROBADO,INSTALACIONES DE MANERA CORRECTA. SIN PODA EN SECTOR ENCONTRÁNDOSE LÍNEAS NUEVAS YA BAJO PRESIÓN POR VEGETACIÓN EN LUGAR,ERICK SANDOVAL,1
64,OK,107529,107681,,15,Empresa Nacional de Telecomunicaciones S.A,Santiago,2024-04-12 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,SI,POST OBRA,,RECHAZADO,"EN RUTA SE ENCUENTRAN INDICIOS DE INSTALACIONES EN TERRENO. CASO 107529 
39005 RESERVA TÉCNICA FUERA DE NORMA 
 153405 CRUCETA NARANJA, NARANJA CON VERDE Y ENTEL CON EVIDENTE POCO USO",ERICK SANDOVAL,1
65,OK,107601,107679,,8,Empresa Nacional de Telecomunicaciones S.A,Las Condes,2024-04-12 00:00:00,2024-06-11 00:00:00,2024-06-11 00:00:00,SI,POST OBRA,,RECHAZADO,"EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS, PROYECTO DE FACTIBILIDAD FUE RECHAZADO POR SATURACION ESPACIO AEREO",ERICK SANDOVAL,2
66,OK,107845,108732,New Feasibility opened,20,Empresa Nacional de Telecomunicaciones S.A,Quilicura,2024-04-15 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,RECHAZADO,PROYECTO DE FACTIBILIDAD RECHAZADO EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS EN TERRENO,ERICK SANDOVAL,2
67,OK,109249,109575,New Feasibility opened,38,Empresa Nacional de Telecomunicaciones S.A,Pudahuel,2024-04-17 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,SI,POST OBRA,,RECHAZADO,"PROYECTO DE FACTIBILIDAD RECHAZADO EN RUTA SE ENCUENTRAN INDICIOS DE TRABAJOS EN TERRENO ESTOS NO COINCIDIENDO CON CSV DE PROYECTO Y A SU VEZ CSV DE PROYECTO NO COINCIDE CON PLANO DEL MISMO
SIN SOLUCIÓN A SATURACION DE ESPACIO AÉREO NI VANOS FUERA DE NORMA 
POSTE 558250 RESERVA TÉCNICA FUERA DE NORMA EMPRESA GTD 
742746 RESERVA TÉCNICA FUERA DE NORMA EMPRESA GTD ",ERICK SANDOVAL,2
68,OK,109435,109572,New Feasibility opened,21,Empresa Nacional de Telecomunicaciones S.A,La Florida,2024-04-18 00:00:00,2024-06-06 00:00:00,2024-06-06 00:00:00,SI,POST OBRA,,APROBADO,PROYECTO DE FACTIBILIDAD RECHAZADO EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS REALIZADOS EN TERRENO POR EMPRESA,ERICK SANDOVAL,2
